ClaimNumber,DateReceived,IncidentDate,AirportCode,AirportName,AirlineName,ClaimType,ClaimSite,ItemCategory,CloseAmount,Disposition,Lat,Long,-,Audio/Video,Automobile Parts & Accessories,Baggage/Cases/Purses,"Books, Magazines & Other",Cameras,Clothing,Computer & Accessories,Cosmetics & Grooming,Crafting & Hobby,Currency,Food & Drink,Home Decor,Household Items,Hunting & Fishing Items,Jewelry & Watches,Medical/Science,Musical Instruments & Accessories,Office Equipment & Supplies,Other,Outdoor Items,Personal Accessories,Personal Documents,Personal Electronics,Personal Navigation,Sporting Equipment & Supplies,Tools & Home Improvement Supplies,Toys & Games,Travel Accessories
2015110000000,21-Oct-15,24-Aug-15,TUS,Tucson International,USAir  ,Passenger Property Loss,Checked Baggage,Personal Accessories,-,1,32.116083,-110.941028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2015110000000,2-Nov-15,5-Oct-15,TUS,Tucson International,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,Jewelry & Watches,-,1,32.116083,-110.941028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2015110000000,10-Nov-15,26-Sep-15,TUS,Tucson International,Southwest Airlines  ,Property Damage,Checkpoint,Clothing,$43.00 ,0,32.116083,-110.941028,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015120000000,24-Nov-15,18-Nov-15,TUS,Tucson International,UAL  ,Property Damage,Checked Baggage,Cosmetics & Grooming,-,1,32.116083,-110.941028,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015120000000,2-Dec-15,28-Nov-15,TUS,Tucson International,American Airlines  ,Property Damage,Checked Baggage,Sporting Equipment & Supplies,-,1,32.116083,-110.941028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2015120000000,8-Dec-15,28-Oct-15,TUS,Tucson International,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,Crafting & Hobby,-,1,32.116083,-110.941028,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015120000000,29-Dec-15,2-Dec-15,TUS,Tucson International,American Airlines  ,Passenger Property Loss,Checked Baggage,Cosmetics & Grooming,-,1,32.116083,-110.941028,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015010000000,12-Jan-15,4-Jan-15,TUL,Tulsa International Airport,Southwest Airlines  ,Property Damage,Checked Baggage,Cameras,-,1,36.198389,-95.888111,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015010000000,28-Jan-15,10-Nov-14,TUL,Tulsa International Airport,Southwest Airlines  ,Property Damage,Checked Baggage,Baggage/Cases/Purses,$0.00 ,1,36.198389,-95.888111,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015020000000,6-Feb-15,29-Mar-13,TUL,Tulsa International Airport,UAL  ,Property Damage,Checked Baggage,Household Items,$0.00 ,1,36.198389,-95.888111,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015020000000,18-Feb-15,13-Feb-15,TUL,Tulsa International Airport,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,Other,$0.00 ,1,36.198389,-95.888111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2015050000000,27-Apr-15,12-Feb-15,TUL,Tulsa International Airport,Southwest Airlines  ,Property Damage,Checked Baggage,Computer & Accessories,-,1,36.198389,-95.888111,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015070000000,22-Jul-15,2-Jul-15,TUL,Tulsa International Airport,Delta Air Lines  ,Passenger Property Loss,Checked Baggage,Personal Navigation,$181.89 ,0,36.198389,-95.888111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2015080000000,21-Aug-15,29-Jun-15,TUL,Tulsa International Airport,Southwest Airlines  ,Passenger Property Loss,Checkpoint,Jewelry & Watches,-,1,36.198389,-95.888111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2016010000000,23-Dec-15,30-Nov-15,TUL,Tulsa International Airport,Unknown,Property Damage,Checkpoint,Baggage/Cases/Purses,-,1,36.198389,-95.888111,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016010000000,30-Dec-15,23-Dec-15,TUL,Tulsa International Airport,American Airlines  ,Passenger Property Loss,Checked Baggage,Clothing,$116.10 ,0,36.198389,-95.888111,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015010000000,20-Jan-15,12-Jan-15,TTN,Trenton-Mercer,Frontier Airlines,Passenger Property Loss,Checked Baggage,Cosmetics & Grooming,$0.00 ,1,40.276692,-74.813469,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015020000000,13-Feb-15,16-Jan-15,TTN,Trenton-Mercer,Frontier Airlines,Property Damage,Checked Baggage,Other,$0.00 ,1,40.276692,-74.813469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2015030000000,4-Mar-15,18-Feb-15,TTN,Trenton-Mercer,Frontier Airlines,Passenger Property Loss,Checked Baggage,Other,$19.99 ,0,40.276692,-74.813469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2015090000000,11-Sep-15,19-Aug-15,TTN,Trenton-Mercer,Frontier Airlines,Property Damage,Checkpoint,Personal Electronics,$50.00 ,0,40.276692,-74.813469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2015100000000,18-Sep-15,6-Sep-15,TTN,Trenton-Mercer,Frontier Airlines,Passenger Property Loss,Checkpoint,Jewelry & Watches,$89.00 ,0,40.276692,-74.813469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2015100000000,22-Sep-15,31-Jul-15,TTN,Trenton-Mercer,Frontier Airlines,Property Damage,Checked Baggage,Cosmetics & Grooming,$0.00 ,1,40.276692,-74.813469,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015010000000,16-Jan-15,14-Aug-14,TSA,TSA - Non-Specified Airport,Unknown,-,Checkpoint,Currency,$2.63 ,0,25.069722,121.5525,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015050000000,20-Apr-15,11-Jan-15,TSA,TSA - Non-Specified Airport,Unknown,Motor Vehicle,Motor Vehicle,Other,-,1,25.069722,121.5525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2015070000000,28-Jul-15,3-Nov-14,TSA,TSA - Non-Specified Airport,Unknown,Passenger Property Loss,Checkpoint,Currency,$34.46 ,0,25.069722,121.5525,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015100000000,29-Sep-15,25-Sep-15,TSA,TSA - Non-Specified Airport,Unknown,Property Damage,Other,Personal Electronics,$400.00 ,0,25.069722,121.5525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2015100000000,2-Oct-15,27-Sep-15,TSA,TSA - Non-Specified Airport,Unknown,Property Damage,Checkpoint,Personal Electronics,$582.99 ,0,25.069722,121.5525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2015100000000,7-Oct-15,25-Sep-15,TSA,TSA - Non-Specified Airport,Unknown,Property Damage,Other,Cameras,$163.31 ,0,25.069722,121.5525,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015100000000,8-Oct-15,26-Sep-15,TSA,TSA - Non-Specified Airport,Unknown,Property Damage,Checkpoint,Personal Electronics,$624.99 ,0,25.069722,121.5525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2015110000000,13-Oct-15,27-Sep-15,TSA,TSA - Non-Specified Airport,Unknown,Property Damage,Checkpoint,Baggage/Cases/Purses,$39.99 ,0,25.069722,121.5525,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015100000000,23-Oct-15,12-Aug-15,TSA,TSA - Non-Specified Airport,Unknown,Employee Loss (MPCECA),Other,Baggage/Cases/Purses; Baggage/Cases/Purses; Clothing,-,1,25.069722,121.5525,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
